10	20
30	133
50	350
70	588
90	987
110	1556
130	1944
150	2410
170	2891
190	3260
210	3455
230	3795
250	4370
270	4688
290	5060
310	5164
330	5677
350	5878
370	6152
390	6183
410	6828
430	6666
450	6803
470	6906
490	7333
10	16
30	126
50	366
70	589
90	1130
110	1559
130	1980
150	2464
170	2892
190	3308
210	3764
230	3975
250	4693
270	4860
290	5155
310	5502
330	5429
350	5704
370	5638
390	5858
410	6034
430	6349
450	6561
470	6871
490	7270
10	20
30	127
50	306
70	663
90	940
110	1650
130	1923
150	2390
170	2320
190	3011
210	3940
230	4129
250	4222
270	4650
290	4810
310	5512
330	5009
350	5696
370	5376
390	6093
410	6488
430	6742
450	7031
470	7153
490	7174
10	20
30	142
50	345
70	566
90	1105
110	1452
130	2058
150	2273
170	2678
190	3112
210	3326
230	3992
250	4109
270	4793
290	4752
310	5333
330	5730
350	5800
370	6198
390	6115
410	6209
430	6729
450	6779
470	6936
490	6942
10	19
30	132
50	332
70	564
90	1020
110	1593
130	2096
150	2507
170	2709
190	3417
210	3696
230	3942
250	4147
270	4717
290	4868
310	5217
330	5480
350	5305
370	6108
390	5847
410	6589
430	6366
450	6938
470	6983
490	7354
10	18
30	138
50	285
70	719
90	1034
110	1285
130	1735
150	2185
170	2906
190	3118
210	3264
230	3726
250	4469
270	4797
290	4990
310	5490
330	5407
350	5669
370	5439
390	6059
410	6189
430	6525
450	6942
470	6921
490	7255
10	21
30	148
50	271
70	726
90	887
110	1506
130	1863
150	2434
170	2990
190	3398
210	3718
230	4347
250	4393
270	4715
290	5307
310	4566
330	5735
350	5436
370	5738
390	6028
410	6554
430	6706
450	6809
470	7150
490	6953
10	23
30	147
50	314
70	616
90	846
110	1569
130	1618
150	2357
170	2695
190	3251
210	3820
230	4090
250	4463
270	4637
290	4818
310	5090
330	5714
350	5620
370	6474
390	5955
410	6159
430	6576
450	6757
470	6864
490	7182
10	21
30	135
50	289
70	617
90	908
110	1383
130	1834
150	2178
170	2759
190	3336
210	3746
230	4032
250	4152
270	4652
290	4732
310	5282
330	5307
350	5897
370	6067
390	6063
410	6771
430	6497
450	6420
470	7038
490	6874
10	21
30	112
50	253
70	606
90	883
110	1299
130	2002
150	2565
170	3051
190	3095
210	3648
230	4042
250	4318
270	4380
290	4818
310	5334
330	5259
350	5758
370	6063
390	6081
410	6572
430	6419
450	6997
470	7061
490	6782
