1250	376
2500	508
3750	609
5000	707
6250	756
7500	847
1250	363
2500	500
3750	609
5000	700
6250	765
7500	837
1250	371
2500	500
3750	616
5000	676
6250	736
7500	834
1250	369
2500	518
3750	611
5000	672
6250	754
7500	830
1250	368
2500	510
3750	593
5000	703
6250	775
7500	842
1250	367
2500	509
3750	624
5000	671
6250	782
7500	835
1250	368
2500	507
3750	603
5000	671
6250	743
7500	842
1250	366
2500	524
3750	610
5000	696
6250	765
7500	810
1250	358
2500	514
3750	607
5000	698
6250	762
7500	852
1250	363
2500	512
3750	618
5000	698
6250	777
7500	812
